hour,day_of_week,month,traffic_level
00,Monday,January,Low
01,Monday,January,Low
02,Monday,January,Low
04,Monday,January,Low
05,Monday,January,Low
06,Monday,January,Low
07,Monday,January,Low
08,Monday,January,High
09,Monday,January,High
10,Monday,January,Mid
11,Monday,January,Mid
12,Monday,January,High
13,Monday,January,High
14,Monday,January,Mid
15,Monday,January,Mid
16,Monday,January,High
17,Monday,January,High
18,Monday,January,Mid
19,Monday,January,Mid
20,Monday,January,Mid
21,Monday,January,Low
22,Monday,January,Low
23,Monday,January,Low
24,Monday,January,Low
00,Tuesday,January,Low
01,Tuesday,January,Low
02,Tuesday,January,Low
04,Tuesday,January,Low
05,Tuesday,January,Low
06,Tuesday,January,Low
07,Tuesday,January,Low
08,Tuesday,January,High
09,Tuesday,January,High
10,Tuesday,January,Mid
11,Tuesday,January,Mid
12,Tuesday,January,High
13,Tuesday,January,High
14,Tuesday,January,Mid
15,Tuesday,January,Mid
16,Tuesday,January,High
17,Tuesday,January,High
18,Tuesday,January,Mid
19,Tuesday,January,Mid
20,Tuesday,January,Mid
21,Tuesday,January,Low
22,Tuesday,January,Low
23,Tuesday,January,Low
24,Tuesday,January,Low
00,Wednesday,January,Low
01,Wednesday,January,Low
02,Wednesday,January,Low
04,Wednesday,January,Low
05,Wednesday,January,Low
06,Wednesday,January,Low
07,Wednesday,January,Low
08,Wednesday,January,High
09,Wednesday,January,High
10,Wednesday,January,Mid
11,Wednesday,January,Mid
12,Wednesday,January,High
13,Wednesday,January,High
14,Wednesday,January,Mid
15,Wednesday,January,Mid
16,Wednesday,January,High
17,Wednesday,January,High
18,Wednesday,January,Mid
19,Wednesday,January,Mid
20,Wednesday,January,Mid
21,Wednesday,January,Low
22,Wednesday,January,Low
23,Wednesday,January,Low
24,Wednesday,January,Low







